"Colony","Trial","TrialNumber","Day","Area","Length","Nest.Area","HumLevel","Number.Colony","Number.Queens","Salt","SubstrateISide","StartWtI","UsedWtI","StartWtII","UsedWtII","CollWallWt","Volume","Density","PropIIWall","PropIWall","Humidity","Temperature","Std.DevHum","Std.DevTemp","FullHumidity","FullTemperature","FullStd.DevHum","FullStd.DevTemp","ColonyMember"
12,1,1,10,6977.335,348.963,6613.371,"Med",81.66666667,1,"KCO3","L",10.0034,7.19048,10.0013,6.92173,5.85453,10466.0025,0.000559385496038244,0.522626258169297,0.477373741830703,45.8554933333333,20.652808,0.785977078038174,0.347479519559598,45.8554933333333,20.652808,0.785977078038174,0.347479519559598,"Brood"
13,1,2,10,3691.206,260.379,4328.887,"Low",198.6666667,1,"LiCl","R",10.0062,9.2559,10.00458,8.3351,2.346,5536.809,0.000423709757732297,0.689930489548637,0.310069510451363,14.0658357487923,20.4921425120773,0.355014765681797,0.43596050921792,13.802815565032,20.6213752665245,0.356917173625725,0.462910533602041,"Brood"
14,1,1,10,2444.142,146.405,3137.381,"Low",27,8,"P2O5","R",10.0062,9.04585,10.00295,7.59888,3.23607,3666.213,0.000882673756271117,0.714557041035305,0.285442958964695,35.3574038461538,20.1731474358974,7.02191929812672,0.878468247572662,5.79447848317,20.3826808691947,11.8767040783803,0.518685806521687,"Brood"
15,1,2,10,1782.814,140.638,6432.034,"Med",65.33333333,4,"MgNO3","L",10.00238,9.513,10.00354,8.8011,1.6255,2674.221,0.000607840563663213,0.710737548911822,0.289262451088178,56.0620225,20.53346,0.558770429582839,0.32665506613334,55.8867518796992,20.6541992481203,0.731296529043069,0.32722370670199,"Brood"
17,1,2,10,393.397,66.069,3450.239,"High",35.33333333,1,"K2SO4","R",10.0021,9.95663,10.00276,9.36263,0.6692,590.0955,0.00113405372520211,0.933678529754959,0.0663214702450406,97.862495821727,20.5381754874652,0.853212879158105,0.390267749174207,97.3543223021583,20.563618705036,1.06723644696187,0.481563522757663,"Brood"
18,1,1,10,2152.717,166.1415,6201.215,"Med",152,1,"NaCl","L",10.00118,9.65273,10.00325,8.27689,1.98974,3229.0755,0.000616194944961801,0.832056911235246,0.167943088764754,58.0013030852995,20.3475880217786,11.6239840832639,0.605215993721466,64.1390881392818,20.4493688792165,11.7302232249078,0.531340853258987,"Brood"
20,1,1,10,2794.776,189.747,4940.486,"Med",94.66666667,2,"MgNO3","R",10.00073,8.9486,10.00509,8.2637,2.75766,4192.164,0.000657813005407231,0.623367650849108,0.376632349150892,55.7106005025126,20.7755452261307,0.835328550393808,0.279765431999538,55.8867518796992,20.6541992481203,0.731296529043069,0.32722370670199,"Brood"
21,1,2,10,239.635,58.234,3726.781,"Med",259.3333333,11,"NaCl","R",10.00636,9.97451,10.00261,9.69409,0.2788,359.4525,0.000775624039337604,0.906425360636953,0.0935746393630467,73.3290869565217,20.6017635869565,0.66726543341499,0.344123910070873,64.1390881392818,20.4493688792165,11.7302232249078,0.531340853258987,"Brood"
22,1,2,10,0,0,6570,"Low",55.33333333,3,"P2O5","L",10.00201,9.99371,10.00413,9.94171,0.0203,0,0,0.882635746606331,0.117364253393669,1.118210625,20.46702125,0.601657913739475,0.39501848285816,5.79447848317,20.3826808691947,11.8767040783803,0.518685806521687,"Brood"
1,2,3,10,0,0,6570,"Low",33,2,"LiCl","L",10.0048,10.0023,10.0089,9.96606,0,0,0,0.944861049845621,0.0551389501543788,13.964398034398,20.4387985257985,0.425618354909108,0.399412177314343,13.8385856832972,20.2926648590022,0.331005436596563,0.454142773210972,"Brood"
